index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
52,no_773e26f7_nohash_4,no,no,1,no,1,-128;-118;-128;118,-125150;81793;-48373;163324,,57.049,167.705,0,0,"RESULT: no scores=-125150,81793,-48373,163324"
53,go_01bcfc0c_nohash_0,no,no,1,unknown,0,-128;-87;-128;87,-263996;128934;7896;174982,,55.927,167.649,0,0,"RESULT: no scores=-263996,128934,7896,174982"
54,no_c5a1e46c_nohash_0,no,no,1,no,1,-128;-110;-127;109,-174096;69801;-2375;122408,,55.929,167.720,0,0,"RESULT: no scores=-174096,69801,-2375,122408"
55,yes_f2e59fea_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,-118013;-15498;163849;13558,,58.262,167.984,0,0,"RESULT: yes scores=-118013,-15498,163849,13558"
56,go_954f190f_nohash_0,no,no,1,unknown,0,-121;-50;-121;35,-49969;10419;-44487;342947188,,58.972,167.702,0,0,"RESULT: no scores=-49969,10419,-44487,342947188"
57,go_3659fc1c_nohash_0,no,no,1,unknown,0,-66;-66;-95;-29,3742;6688;-9979;18376,,48.502,170.333,0,0,"RESULT: no scores=3742,6688,-9979,18376"
58,go_0cb74144_nohash_1,no,no,1,unknown,0,-128;-110;-125;107,-102651;28441;-15739;92204,,55.681,167.748,0,0,"RESULT: no scores=-102651,28441,-15739,92204"
59,go_1942abd7_nohash_0,unknown,no,0,unknown,0,-128;110;-127;-111,-94716;77713;-65812;351156985,,58.898,167.819,0,0,"RESULT: no scores=-94716,77713,-65812,351156985"
60,go_b69002d4_nohash_1,no,no,1,unknown,0,-128;-90;-128;90,-101404;94484;-15162;140737,,54.381,170.640,0,0,"RESULT: no scores=-101404,94484,-15162,140737"
61,go_28e47b1a_nohash_1,unknown,no,0,unknown,0,-128;80;-128;-80,-148807;119149;-44088;146782,,55.109,170.866,0,0,"RESULT: no scores=-148807,119149,-44088,146782"
62,_background_noise__white_noise,silence,silence,1,silence,1,122;-127;-125;-126,93697;-33849;-11956;-9763,,60.043,167.360,0,0,"RESULT: silence scores=93697,-33849,-11956,-9763"
63,no_a1cff772_nohash_1,no,no,1,no,1,-128;-127;-128;127,-217775;89467;-46575;220990,,56.799,167.496,0,0,"RESULT: no scores=-217775,89467,-46575,220990"
64,no_01648c51_nohash_0,no,no,1,no,1,-128;-126;-128;126,-143320;38980;-84241;161846,,56.882,168.165,0,0,"RESULT: no scores=-143320,38980,-84241,161846"
65,yes_a9ca1818_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-160446;23385;170489;-19063,,57.814,167.462,0,0,"RESULT: yes scores=-160446,23385,170489,-19063"
66,no_39833acb_nohash_2,unknown,unknown,1,no,0,-128;38;-126;-41,-132987;97533;-6417;87061,,57.093,170.477,0,0,"RESULT: unknown scores=-132987,97533,-6417,87061"
67,go_ee1d8d49_nohash_3,unknown,unknown,1,unknown,1,-128;22;-126;-24,-121372;82859;-27151;74273,,60.601,167.358,0,0,"RESULT: unknown scores=-121372,82859,-27151,74273"
68,no_c39703ec_nohash_1,no,no,1,no,1,-126;-122;-107;99,-45638;-21217;9446;69221,,53.931,168.257,0,0,"RESULT: no scores=-45638,-21217,9446,69221"
69,yes_db72a474_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-102513;-4004;134951;-13495,,57.678,167.453,0,0,"RESULT: yes scores=-102513,-4004,134951,-13495"
70,go_27c24504_nohash_3,no,no,1,unknown,0,-128;-96;-124;92,-150131;62052;8900;112371,,52.167,170.680,0,0,"RESULT: no scores=-150131,62052,8900,112371"
71,no_0132a06d_nohash_4,no,unknown,0,no,0,-128;-80;-128;80,-199201;83342;-44259;-1055792473,,66.202,168.038,0,0,"RESULT: unknown scores=-199201,83342,-44259,-1055792473"
72,go_173ae793_nohash_1,no,no,1,unknown,0,-128;-110;-128;110,-156672;71823;-80510;137901,,56.938,167.775,0,0,"RESULT: no scores=-156672,71823,-80510,137901"
73,go_c1d39ce8_nohash_8,no,no,1,unknown,0,-128;-118;-112;102,-256935;45768;48558;124076,,53.169,170.753,0,0,"RESULT: no scores=-256935,45768,48558,124076"
74,no_37dca74f_nohash_0,no,unknown,0,no,0,-128;-113;-127;112,-129429;41913;-25651;-1055822238,,66.202,167.605,0,0,"RESULT: unknown scores=-129429,41913,-25651,-1055822238"
75,yes_51f7a034_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-200966;-7898;178097;20236,,57.006,167.386,0,0,"RESULT: yes scores=-200966,-7898,178097,20236"
76,go_d394ef8e_nohash_1,unknown,unknown,1,unknown,1,-128;44;-127;-45,-153429;126901;-7578;112023,,58.819,170.576,0,0,"RESULT: unknown scores=-153429,126901,-7578,112023"
77,go_fb8c31a9_nohash_1,no,no,1,unknown,0,-128;-114;-124;110,-135644;57679;25090;131796,,55.681,167.662,0,0,"RESULT: no scores=-135644,57679,25090,131796"
78,no_538e1856_nohash_0,no,no,1,no,1,-128;-126;-128;126,-115838;69624;-74495;208365,,56.919,168.151,0,0,"RESULT: no scores=-115838,69624,-74495,208365"
79,go_2da58b32_nohash_3,no,no,1,unknown,0,-128;-125;-127;124,-177716;41174;883;151261,,53.776,167.785,0,0,"RESULT: no scores=-177716,41174,883,151261"
80,yes_2fcb6397_nohash_2,yes,yes,1,yes,1,-128;-128;110;-110,-320660;-6324;184679;145002,,57.929,167.668,0,0,"RESULT: yes scores=-320660,-6324,184679,145002"
81,no_a97017df_nohash_1,no,no,1,no,1,-128;-124;-128;124,-229038;114131;-59758;218227,,58.198,167.696,0,0,"RESULT: no scores=-229038,114131,-59758,218227"
82,go_6565a81d_nohash_3,no,no,1,unknown,0,-128;-80;-128;80,-91407;83707;-48616;122857,,53.290,170.566,0,0,"RESULT: no scores=-91407,83707,-48616,122857"
83,yes_41285056_nohash_2,yes,no,0,yes,0,-128;-126;122;-124,-205109;7906;125732;1023447259,,60.126,167.482,0,0,"RESULT: no scores=-205109,7906,125732,1023447259"
84,go_eaa83485_nohash_4,no,no,1,unknown,0,-128;-108;-128;108,-89360;98845;-86165;158026,,56.082,167.684,0,0,"RESULT: no scores=-89360,98845,-86165,158026"
85,no_c33682f0_nohash_0,no,no,1,no,1,-128;-120;-128;120,-128891;71763;-58929;182074,,54.004,170.303,0,0,"RESULT: no scores=-128891,71763,-58929,182074"
86,yes_52162b51_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,-213759;-33180;231816;-39345,,56.052,170.621,0,0,"RESULT: yes scores=-213759,-33180,231816,-39345"
87,yes_9b8a7439_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-195062;17010;219620;-60253,,54.933,170.594,0,0,"RESULT: yes scores=-195062,17010,219620,-60253"
88,yes_c2dccf38_nohash_4,yes,yes,1,yes,1,-128;-125;124;-126,-195787;16328;128422;9339,,53.251,170.409,0,0,"RESULT: yes scores=-195787,16328,128422,9339"
89,yes_cfbedff9_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-142302;-5125;201157;-9320,,57.027,167.413,0,0,"RESULT: yes scores=-142302,-5125,201157,-9320"
90,yes_e7bcee8a_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-141870;-25050;196481;-136366,,57.002,170.085,0,0,"RESULT: yes scores=-141870,-25050,196481,-136366"
91,yes_72242187_nohash_0,yes,yes,1,yes,1,-128;-127;119;-120,-94903;-18785;109853;33921,,57.143,167.827,0,0,"RESULT: yes scores=-94903,-18785,109853,33921"
92,no_6794a793_nohash_0,no,no,1,no,1,-128;-78;-118;68,-166718;72168;29066;109688,,55.979,167.725,0,0,"RESULT: no scores=-166718,72168,29066,109688"
93,yes_35d1b6ee_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,-163228;-3433;186572;7588,,56.078,167.871,0,0,"RESULT: yes scores=-163228,-3433,186572,7588"
94,go_617de221_nohash_1,unknown,unknown,1,unknown,1,-128;22;-126;-24,-163049;102912;-12635;97668,,61.929,167.409,0,0,"RESULT: unknown scores=-163049,102912,-12635,97668"
95,no_3cc595de_nohash_0,no,yes,0,no,0,-128;-107;-65;44,-192278;26302;47909;-2147407602,,58.835,170.292,0,0,"RESULT: yes scores=-192278,26302,47909,-2147407602"
96,go_890cc926_nohash_2,no,no,1,unknown,0,-128;-121;-124;117,-120027;48980;33550;139852,,56.056,167.740,0,0,"RESULT: no scores=-120027,48980,33550,139852"
97,go_f2e59fea_nohash_3,unknown,unknown,1,unknown,1,-128;103;-126;-105,-324788;172477;53344;130085,,58.889,170.490,0,0,"RESULT: unknown scores=-324788,172477,53344,130085"
98,no_a4ca3afe_nohash_0,no,no,1,no,1,-128;-127;-128;127,-263528;108583;-64123;241423,,54.969,170.297,0,0,"RESULT: no scores=-263528,108583,-64123,241423"
99,_background_noise__pink_noise,silence,silence,1,silence,1,107;-120;-125;-118,62405;-15569;-37743;-7739,,59.905,167.497,0,0,"RESULT: silence scores=62405,-15569,-37743,-7739"
100,yes_b25b6065_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-178321;-503;200218;8791,,52.273,170.227,0,0,"RESULT: yes scores=-178321,-503,200218,8791"
101,no_b59fa113_nohash_1,yes,yes,1,no,0,-128;-103;63;-88,-133318;12033;57082;24936,,55.761,167.305,0,0,"RESULT: yes scores=-133318,12033,57082,24936"
102,yes_611d2b50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-159831;-4039;175625;-49289,,57.689,167.815,0,0,"RESULT: yes scores=-159831,-4039,175625,-49289"
103,no_3a3ee7ed_nohash_1,no,no,1,no,1,-128;-109;-118;99,-169268;54944;35225;118358,,53.172,170.324,0,0,"RESULT: no scores=-169268,54944,35225,118358"
104,go_96d8bb6f_nohash_3,unknown,unknown,1,unknown,1,-128;29;-128;-29,-92217;97897;-44007;91390,,57.408,170.064,0,0,"RESULT: unknown scores=-92217,97897,-44007,91390"
105,yes_879a2b38_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-178736;10244;186333;-32334,,54.983,170.436,0,0,"RESULT: yes scores=-178736,10244,186333,-32334"
106,no_27c24504_nohash_2,no,no,1,no,1,-128;-113;-127;112,-76846;54446;-22428;140210,,55.864,167.238,0,0,"RESULT: no scores=-76846,54446,-22428,140210"
107,no_06a79a03_nohash_0,no,unknown,0,no,0,-128;-111;-128;111,-208379;103723;-54124;-887975923,,63.906,170.766,0,0,"RESULT: unknown scores=-208379,103723,-54124,-887975923"
108,yes_0717b9f6_nohash_0,yes,yes,1,yes,1,-128;-124;122;-126,-95106;10996;110152;-5726,,53.055,170.675,0,0,"RESULT: yes scores=-95106,10996,110152,-5726"
109,yes_363c6bad_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-140630;-27800;181884;48488,,54.962,170.281,0,0,"RESULT: yes scores=-140630,-27800,181884,48488"
110,no_94d370bf_nohash_1,no,no,1,no,1,-128;-124;-127;123,-220256;47612;18291;152957,,53.490,170.679,0,0,"RESULT: no scores=-220256,47612,18291,152957"
111,go_3589bc72_nohash_4,unknown,unknown,1,unknown,1,-128;99;-127;-100,-84133;79301;-44853;28903,,59.591,167.641,0,0,"RESULT: unknown scores=-84133,79301,-44853,28903"
112,go_1ed0b13d_nohash_0,no,no,1,unknown,0,-128;-80;-128;80,-162486;142272;-108556;342890504,,59.005,170.163,0,0,"RESULT: no scores=-162486,142272,-108556,342890504"
113,yes_5f8097e1_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-185854;22374;175411;-874518192,,61.471,168.003,0,0,"RESULT: yes scores=-185854,22374,175411,-874518192"
114,yes_7fb8d703_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-152320;34274;201752;-42875,,58.011,167.484,0,0,"RESULT: yes scores=-152320,34274,201752,-42875"
115,go_bdd22e4d_nohash_4,no,no,1,unknown,0,-127;-103;-125;99,-64375;22793;-32013;77173,,55.102,167.909,0,0,"RESULT: no scores=-64375,22793,-32013,77173"
116,no_54b6d355_nohash_0,no,no,1,no,1,-128;-95;-128;95,-129497;71262;-61733;120595,,54.418,169.969,0,0,"RESULT: no scores=-129497,71262,-61733,120595"
117,no_a4baac4e_nohash_2,no,no,1,no,1,-128;-125;-128;125,-199790;63938;-21899;156705,,54.079,170.314,0,0,"RESULT: no scores=-199790,63938,-21899,156705"
118,go_3bdf05d3_nohash_0,no,no,1,unknown,0,-128;-77;-127;76,-129759;92031;-13172;128313,,54.070,170.289,0,0,"RESULT: no scores=-129759,92031,-13172,128313"
119,yes_0d82fd99_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-75690;25654;192897;-108076,,58.008,168.160,0,0,"RESULT: yes scores=-75690,25654,192897,-108076"
120,yes_b414c653_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-299365;3913;218959;60810,,53.354,170.589,0,0,"RESULT: yes scores=-299365,3913,218959,60810"
121,yes_1496195a_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-213286;2530;192645;22792,,56.120,167.578,0,0,"RESULT: yes scores=-213286,2530,192645,22792"
122,go_322d17d3_nohash_0,no,no,1,unknown,0,-128;-111;-128;111,-137937;98551;-95639;166662,,57.008,168.086,0,0,"RESULT: no scores=-137937,98551,-95639,166662"
123,no_18d120ae_nohash_0,no,no,1,no,1,-128;-94;-118;84,-122156;48280;17007;96299,,55.247,167.516,0,0,"RESULT: no scores=-122156,48280,17007,96299"
124,yes_58df33b5_nohash_1,yes,yes,1,yes,1,-128;-127;126;-128,-51922;3137;127694;-27342,,56.114,167.362,0,0,"RESULT: yes scores=-51922,3137,127694,-27342"
125,yes_72aa7259_nohash_0,yes,yes,1,yes,1,-128;-122;116;-122,-102625;20268;109675;23030,,54.246,170.311,0,0,"RESULT: yes scores=-102625,20268,109675,23030"
126,_background_noise__running_tap,silence,silence,1,silence,1,121;-125;-125;-126,86292;-18779;-21142;-1055943305,,65.644,167.809,0,0,"RESULT: silence scores=86292,-18779,-21142,-1055943305"
127,no_29229c21_nohash_3,no,no,1,no,1,-127;-101;-126;98,-65726;25170;-36099;79858,,52.335,170.185,0,0,"RESULT: no scores=-65726,25170,-36099,79858"
128,go_274c008f_nohash_0,unknown,no,0,unknown,0,-126;-2;-126;-2,-76989;32890;-64641;34442,,55.166,167.850,0,0,"RESULT: no scores=-76989,32890,-64641,34442"
129,no_712e4d58_nohash_0,no,no,1,no,1,-128;-128;-128;127,-187824;65420;-74451;228323,,56.830,167.238,0,0,"RESULT: no scores=-187824,65420,-74451,228323"
130,go_1365dd89_nohash_0,no,no,1,unknown,0,-128;-87;-127;86,-84438;59668;-26097;100384,,56.064,167.113,0,0,"RESULT: no scores=-84438,59668,-26097,100384"
131,no_b65f6015_nohash_0,no,no,1,no,1,-128;-125;-128;125,-124342;58161;-19974;170962,,53.966,170.836,0,0,"RESULT: no scores=-124342,58161,-19974,170962"
132,yes_e91d173e_nohash_1,yes,yes,1,yes,1,-128;-125;124;-128,-137084;50234;150218;-8022,,56.853,167.777,0,0,"RESULT: yes scores=-137084,50234,150218,-8022"
133,no_499be02e_nohash_4,no,no,1,no,1,-128;-114;-114;99,-111198;48432;46671;120196,,53.420,170.199,0,0,"RESULT: no scores=-111198,48432,46671,120196"
134,no_bde0f20a_nohash_0,no,no,1,no,1,-128;-126;-128;126,-177318;101097;-74534;226927,,55.064,170.596,0,0,"RESULT: no scores=-177318,101097,-74534,226927"
135,go_e6be0830_nohash_4,no,no,1,unknown,0,-128;-68;-128;68,-173913;96493;-65150;129230,,54.495,170.176,0,0,"RESULT: no scores=-173913,96493,-65150,129230"
136,go_0e5193e6_nohash_0,unknown,unknown,1,unknown,1,-126;32;-127;-36,-72078;45520;-83570;33897,,59.672,167.833,0,0,"RESULT: unknown scores=-72078,45520,-83570,33897"
137,_background_noise__exercise_bike,silence,silence,1,silence,1,80;-107;-126;-103,60010;10986;-43572;16812,,58.972,167.554,0,0,"RESULT: silence scores=60010,10986,-43572,16812"
138,yes_73f20b00_nohash_3,yes,yes,1,yes,1,-128;-126;125;-128,-252577;70938;174652;22907,,56.602,167.462,0,0,"RESULT: yes scores=-252577,70938,174652,22907"
139,_background_noise__dude_miaowing,silence,silence,1,silence,1,116;-121;-124;-127,83115;3908;-16564;-879771753,,62.440,167.731,0,0,"RESULT: silence scores=83115,3908,-16564,-879771753"
140,go_5677ec77_nohash_0,no,no,1,unknown,0,-128;-118;-127;118,-95381;58229;-14645;137926,,56.032,167.424,0,0,"RESULT: no scores=-95381,58229,-14645,137926"
141,go_24befdb3_nohash_3,no,no,1,unknown,0,-128;-100;-128;100,-238733;127744;-54604;183438,,54.928,170.714,0,0,"RESULT: no scores=-238733,127744,-54604,183438"
142,go_b0ae6326_nohash_2,no,no,1,unknown,0,-128;-121;-128;121,-213011;92137;-34852;183604,,57.171,167.860,0,0,"RESULT: no scores=-213011,92137,-34852,183604"
143,go_31270cb2_nohash_0,no,unknown,0,unknown,1,-128;-95;-128;95,-129112;91362;-33934;82648,,57.949,170.583,0,0,"RESULT: unknown scores=-129112,91362,-33934,82648"
144,yes_8d9cc260_nohash_0,yes,yes,1,yes,1,-128;-127;126;-128,-154197;22344;150066;-22381,,55.179,170.919,0,0,"RESULT: yes scores=-154197,22344,150066,-22381"
145,go_617de221_nohash_4,no,no,1,unknown,0,-128;-60;-128;60,-153625;101649;-74487;125403,,55.455,170.164,0,0,"RESULT: no scores=-153625,101649,-74487,125403"
146,yes_cd85758f_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,-153264;3416;167077;-33584958,,57.117,170.605,0,0,"RESULT: yes scores=-153264,3416,167077,-33584958"
147,no_b176f8e9_nohash_0,unknown,unknown,1,no,0,-127;43;-101;-71,-97200;46217;-629;21659,,55.379,170.493,0,0,"RESULT: unknown scores=-97200,46217,-629,21659"
148,go_8931f494_nohash_1,no,no,1,unknown,0,-128;-45;-127;45,-145268;101046;-23374;122679,,58.098,167.581,0,0,"RESULT: no scores=-145268,101046,-23374,122679"
